quality_of_education,country,institution
3,France,Kcole normale - Paris
4,Israel,Weizmann Institute of Science
10,United Kingdom,University of Cambridge
13,United Kingdom,University of Oxford
24,Israel,Hebrew University of Jerusalem
26,Switzerland,Swiss Federal Institute of Technology in Zurich
32,Japan,University of Tokyo
35,United Kingdom,University College London
42,Japan,Kyoto University
44,France,Mines ParisTech
45,Israel,Technion ??Israel Institute of Technology
46,Switzerland,University of Geneva
47,France,Kcole Polytechnique
48,France,University of Paris-Sud
51,Sweden,Karolinska Institute
52,Germany,Technical University of Munich
53,Japan,Tohoku University
54,France,Pierre-and-Marie-Curie University
56,Japan,Nagoya University
70,Canada,McGill University
71,United Kingdom,University of Edinburgh
77,Japan,Osaka University
84,United Kingdom,Imperial College London
87,Germany,Ruprecht Karl University of Heidelberg
88,Netherlands,Leiden University
90,Germany,Ludwig Maximilian University of Munich
96,Finland,University of Helsinki
97,Israel,Tel Aviv University
100,Netherlands,Utrecht University
101,Canada,University of Toronto
101,Canada,University of British Columbia
101,Switzerland,Swiss Federal Institute of Technology in Lausanne
101,South Korea,Seoul National University
101,United Kingdom,University of Manchester
101,Italy,Sapienza University of Rome
101,Switzerland,University of Zurich
101,Norway,University of Oslo
101,Australia,University of Queensland
101,Denmark,University of Copenhagen
101,Australia,University of Sydney
101,United Kingdom,University of Nottingham
101,United Kingdom,University of Bristol
